Summary,Priority,Preconditions,Steps,Expected Result,Requirement Keys,Labels,Technique
"TC-INT-001 Valid ingest stores server SHA-256 and size",1,"Investigator nw-inv; case NW-1; file sample-32.bin exactly 32 bytes.","1. Authenticate as nw-inv. | 2. Upload sample-32.bin Content-Length 32. | 3. Read stored hash and size. | 4. Download and hash locally.","HTTP 201; size 32; stored SHA-256 equals downloaded bytes.",REQ-INT-01,"INT;RSK-INT-01;qa-scribe","INTEGRITY;EP"
"TC-INT-002 Client server hash mismatch rejected",1,"nw-inv; 32-byte file; client_sha256 fictional bbbb… that does not match bytes.","1. Authenticate as nw-inv. | 2. POST ingest with mismatched client hash. | 3. Record HTTP status. | 4. Search for new evidence. | 5. Admin confirm no accepted custody with fake hash.","HTTP 400 or 422; no new object; 201 is a fail.",REQ-INT-03,"INT;RSK-INT-01;qa-scribe","INTEGRITY;NEG"
"TC-INT-003 Truncated body vs Content-Length rejected",1,"API client can send Content-Length 100 and only 40 bytes.","1. Authenticate as nw-inv. | 2. POST ingest Content-Length 100 body 40 bytes. | 3. Record status. | 4. List evidence after T0.","No 201; zero new objects; fail if 40-byte object stored as complete.",REQ-INT-02,"INT;RSK-INT-01;qa-scribe","BVA;NEG;INTEGRITY"
"TC-INT-004 Zero-byte upload rejected",1,"Investigator upload API.","1. Upload empty file Content-Length 0. | 2. Record status and list.","Reject 400/422; no object.",REQ-INT-01,"INT;RSK-INT-01;qa-scribe","BVA;EP"
"TC-INT-005 Custody event on ingest download export",2,"Object EV-NW-INT-1 from TC-INT-001 present.","1. Read custody after ingest. | 2. Download as nw-inv. | 3. Admin export including object. | 4. Read custody chain.","Ingest download export events; hash matches stored; UTC monotonic.",REQ-INT-04,"INT;RSK-INT-02;qa-scribe","ST;INTEGRITY"
"TC-INT-006 Evidence bytes immutable replacement is new object",2,"EV-NW-INT-1 exists.","1. Record hash of EV-NW-INT-1. | 2. Upload different file to NW-1. | 3. GET original bytes and hash.","Original hash unchanged; new object id for second file.",REQ-INT-05,"INT;RSK-INT-02;qa-scribe","ST;INTEGRITY"
"TC-AUD-001 Successful download is audited allow",2,"Authorised download of EV-NW-1 as nw-inv completed.","1. Perform authorised download. | 2. Admin query audit by object and time. | 3. Open newest download event.","Event actor tenant object action outcome=allow timestamp UTC.",REQ-AUD-01;REQ-AUD-04,"AUD;RSK-AUD-01;qa-scribe",EP
"TC-AUD-002 Denied cross-tenant GET is audited",2,"After TC-RBAC-004 GET of GLOBEX UUID as nw-ro.","1. Repeat GET if needed. | 2. NORTHWIND Admin filter audit. | 3. Confirm GLOBEX has no allow for this actor.","NORTHWIND outcome=deny; GLOBEX no allow; fail if deny missing.",REQ-AUD-02;REQ-RBAC-03,"AUD;RSK-AUD-01;qa-scribe","NEG;ROLE-MATRIX"
"TC-AUD-003 Home-tenant wrong-role 403 is audited",2,"Pair with TC-RBAC-006 Read-only download.","1. Trigger 403 download as nw-ro. | 2. Admin query audit.","outcome=deny action=download; fail if deny missing.",REQ-AUD-02,"AUD;RSK-AUD-01;qa-scribe","NEG;DT"
"TC-AUD-004 Admin cannot delete an audit event",3,"Known audit event id from TC-AUD-001.","1. As nw-admin DELETE and PATCH audit event. | 2. Re-GET the event.","403 404 or 405; event unchanged; fail on 204 delete.",REQ-AUD-03,"AUD;RSK-AUD-02;qa-scribe",NEG
"TC-EXP-001 Admin bulk export is tenant-scoped",2,"NORTHWIND Admin; GLOBEX has objects; NORTHWIND has EV-NW-1.","1. Authenticate as nw-admin. | 2. Run tenant-wide bulk export. | 3. Inspect package object IDs and hashes. | 4. Confirm SHA-256 present per file.","Package contains only NORTHWIND objects; hashes present; no GLOBEX IDs.",REQ-EXP-01;REQ-EXP-03;REQ-EXP-04,"EXP;RSK-EXP-02;qa-scribe","ROLE-MATRIX;INTEGRITY"
"TC-EXP-002 Reporter export assigned case only notes residual",2,"nw-rep assigned to NW-1 not NW-2; investigator notes exist on both.","1. Authenticate as nw-rep. | 2. Export report for NW-1. | 3. Attempt export for NW-2. | 4. Inspect NW-1 package for notes.","NW-2 export denied; NW-1 package tenant-scoped. Notes may still appear — RSK-EXP-01 residual High if notes ACL absent.",REQ-EXP-02;REQ-RBAC-06,"EXP;RSK-EXP-01;qa-scribe","ROLE-MATRIX;NEG"
"TC-EXP-003 Investigator denied bulk export",2,"nw-inv valid token; bulk export endpoint.","1. Authenticate as nw-inv. | 2. POST bulk export. | 3. Record status and audit.","HTTP 403; no package; audit deny.",REQ-RBAC-07;REQ-EXP-01,"EXP;RBAC;qa-scribe","ROLE-MATRIX;NEG"
"TC-API-001 Missing Bearer returns 401",2,"API GET evidence without Authorization header.","1. GET /api/v1/evidence/{NW-UUID} with no token. | 2. Record status and body.","HTTP 401; no object body.",REQ-API-03,"API;qa-scribe",NEG
"TC-UAT-001 US home-region UAT script completes",3,"US-uat tenant; coordinator Jordan Hale; synthetic case.","1. Login as regional Investigator. | 2. Upload synthetic file. | 3. Admin confirms storage region US. | 4. Sign UAT sheet.","Script completes; storage region US; no cross-region copy.",REQ-UAT-01;REQ-UAT-02,"UAT;RSK-UAT-01;qa-scribe",EP
"TC-UAT-002 UK home-region UAT script completes",3,"UK-uat tenant; coordinator Elena Rossi.","1. Login as regional Investigator. | 2. Upload synthetic file. | 3. Admin confirms storage region UK. | 4. Sign UAT sheet.","Script completes; storage region UK.",REQ-UAT-01;REQ-UAT-02,"UAT;RSK-UAT-01;qa-scribe",EP
"TC-UAT-003 Brazil home-region UAT script completes",3,"BR-uat tenant; coordinator Rafael Costa.","1. Login as regional Investigator. | 2. Upload synthetic file. | 3. Admin confirms storage region BR. | 4. Sign UAT sheet.","Script completes; storage region Brazil.",REQ-UAT-01;REQ-UAT-02,"UAT;RSK-UAT-01;qa-scribe",EP
"TC-UAT-004 Australia home-region UAT script completes",3,"AU-uat tenant; coordinator Sophie Nguyen.","1. Login as regional Investigator. | 2. Upload synthetic file. | 3. Admin confirms storage region AU. | 4. Sign UAT sheet.","Script completes; storage region Australia.",REQ-UAT-01;REQ-UAT-02,"UAT;RSK-UAT-01;qa-scribe",EP
